,naptanID,commonName
0,940GZZLUBST,Baker Street Underground Station
1,940GZZLUCHX,Charing Cross Underground Station
2,940GZZLUEAC,Elephant & Castle Underground Station
3,940GZZLUEMB,Embankment Underground Station
4,940GZZLUERB,Edgware Road (Bakerloo) Underground Station
5,940GZZLUHAW,Harrow & Wealdstone Underground Station
6,940GZZLUHSN,Harlesden Underground Station
7,940GZZLUKEN,Kenton Underground Station
8,940GZZLUKPK,Kilburn Park Underground Station
9,940GZZLUKSL,Kensal Green Underground Station
10,940GZZLULBN,Lambeth North Underground Station
11,940GZZLUMVL,Maida Vale Underground Station
12,940GZZLUMYB,Marylebone Underground Station
13,940GZZLUNWY,North Wembley Underground Station
14,940GZZLUOXC,Oxford Circus Underground Station
15,940GZZLUPAC,Paddington Underground Station
16,940GZZLUPCC,Piccadilly Circus Underground Station
17,940GZZLUQPS,Queen's Park Underground Station
18,940GZZLURGP,Regent's Park Underground Station
19,940GZZLUSGP,Stonebridge Park Underground Station
20,940GZZLUSKT,South Kenton Underground Station
21,940GZZLUWJN,Willesden Junction Underground Station
22,940GZZLUWKA,Warwick Avenue Underground Station
23,940GZZLUWLO,Waterloo Underground Station
24,940GZZLUWYC,Wembley Central Underground Station
25,940GZZLUBKE,Barkingside Underground Station
26,940GZZLUBKH,Buckhurst Hill Underground Station
27,940GZZLUBLG,Bethnal Green Underground Station
28,940GZZLUBND,Bond Street Underground Station
29,940GZZLUBNK,Bank Underground Station
30,940GZZLUCHL,Chancery Lane Underground Station
31,940GZZLUCWL,Chigwell Underground Station
32,940GZZLUDBN,Debden Underground Station
33,940GZZLUEAN,East Acton Underground Station
34,940GZZLUEBY,Ealing Broadway Underground Station
35,940GZZLUEPG,Epping Underground Station
36,940GZZLUFLP,Fairlop Underground Station
37,940GZZLUGFD,Greenford Underground Station
38,940GZZLUGGH,Grange Hill Underground Station
39,940GZZLUGTH,Gants Hill Underground Station
40,940GZZLUHBN,Holborn Underground Station
41,940GZZLUHGR,Hanger Lane Underground Station
42,940GZZLUHLT,Hainault Underground Station
43,940GZZLUHPK,Holland Park Underground Station
44,940GZZLULGN,Loughton Underground Station
45,940GZZLULGT,Lancaster Gate Underground Station
46,940GZZLULVT,Liverpool Street Underground Station
47,940GZZLULYN,Leyton Underground Station
48,940GZZLULYS,Leytonstone Underground Station
49,940GZZLUMBA,Marble Arch Underground Station
50,940GZZLUMED,Mile End Underground Station
51,940GZZLUNAN,North Acton Underground Station
52,940GZZLUNBP,Newbury Park Underground Station
53,940GZZLUNHG,Notting Hill Gate Underground Station
54,940GZZLUNHT,Northolt Underground Station
55,940GZZLUPVL,Perivale Underground Station
56,940GZZLUQWY,Queensway Underground Station
57,940GZZLURBG,Redbridge Underground Station
58,940GZZLURSG,Ruislip Gardens Underground Station
59,940GZZLURVY,Roding Valley Underground Station
60,940GZZLUSBC,Shepherd's Bush (Central) Underground Station
61,940GZZLUSNB,Snaresbrook Underground Station
62,940GZZLUSPU,St. Paul's Underground Station
63,940GZZLUSRP,South Ruislip Underground Station
64,940GZZLUSTD,Stratford Underground Station
65,940GZZLUSWF,South Woodford Underground Station
66,940GZZLUTCR,Tottenham Court Road Underground Station
67,940GZZLUTHB,Theydon Bois Underground Station
68,940GZZLUWCY,White City Underground Station
69,940GZZLUWOF,Woodford Underground Station
70,940GZZLUWRP,West Ruislip Underground Station
71,940GZZLUWSD,Wanstead Underground Station
72,940GZZLUWTA,West Acton Underground Station
73,940GZZLUALD,Aldgate Underground Station
74,940GZZLUBBN,Barbican Underground Station
75,940GZZLUBKF,Blackfriars Underground Station
76,940GZZLUBWT,Bayswater Underground Station
77,940GZZLUCST,Cannon Street Underground Station
78,940GZZLUERC,Edgware Road (Circle Line) Underground Station
79,940GZZLUESQ,Euston Square Underground Station
80,940GZZLUFCN,Farringdon Underground Station
81,940GZZLUGHK,Goldhawk Road Underground Station
82,940GZZLUGPS,Great Portland Street Underground Station
83,940GZZLUGTR,Gloucester Road Underground Station
84,940GZZLUHSC,Hammersmith (H&C Line) Underground Station
85,940GZZLUHSK,High Street Kensington Underground Station
86,940GZZLUKSX,King's Cross St. Pancras Underground Station
87,940GZZLULAD,Ladbroke Grove Underground Station
88,940GZZLULRD,Latimer Road Underground Station
89,940GZZLUMGT,Moorgate Underground Station
90,940GZZLUMMT,Monument Underground Station
91,940GZZLUMSH,Mansion House Underground Station
92,940GZZLUPAH,Paddington (H&C Line)-Underground
93,940GZZLURYO,Royal Oak Underground Station
94,940GZZLUSBM,Shepherd's Bush Market Underground Station
95,940GZZLUSJP,St. James's Park Underground Station
96,940GZZLUSKS,South Kensington Underground Station
97,940GZZLUSSQ,Sloane Square Underground Station
98,940GZZLUTMP,Temple Underground Station
99,940GZZLUTWH,Tower Hill Underground Station
100,940GZZLUVIC,Victoria Underground Station
101,940GZZLUWLA,Wood Lane Underground Station
102,940GZZLUWSM,Westminster Underground Station
103,940GZZLUWSP,Westbourne Park Underground Station
104,940GZZLUACT,Acton Town Underground Station
105,940GZZLUADE,Aldgate East Underground Station
106,940GZZLUBBB,Bromley-by-Bow Underground Station
107,940GZZLUBEC,Becontree Underground Station
108,940GZZLUBKG,Barking Underground Station
109,940GZZLUBSC,Barons Court Underground Station
110,940GZZLUBWR,Bow Road Underground Station
111,940GZZLUCWP,Chiswick Park Underground Station
112,940GZZLUDGE,Dagenham East Underground Station
113,940GZZLUDGY,Dagenham Heathway Underground Station
114,940GZZLUECM,Ealing Common Underground Station
115,940GZZLUECT,Earl's Court Underground Station
116,940GZZLUEHM,East Ham Underground Station
117,940GZZLUEPK,Elm Park Underground Station
118,940GZZLUEPY,East Putney Underground Station
119,940GZZLUFBY,Fulham Broadway Underground Station
120,940GZZLUGBY,Gunnersbury Underground Station
121,940GZZLUHCH,Hornchurch Underground Station
122,940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station
123,940GZZLUKOY,Kensington (Olympia) Underground Station
124,940GZZLUKWG,Kew Gardens Underground Station
125,940GZZLUPLW,Plaistow Underground Station
126,940GZZLUPSG,Parsons Green Underground Station
127,940GZZLUPYB,Putney Bridge Underground Station
128,940GZZLURMD,Richmond Underground Station
129,940GZZLURVP,Ravenscourt Park Underground Station
130,940GZZLUSFB,Stamford Brook Underground Station
131,940GZZLUSFS,Southfields Underground Station
