,ATCOCode,CommonName
430690,9400ZZALGWP,IFS Cloud Greenwich Peninsula
430692,9400ZZALRDK,IFS Cloud Royal Docks
430909,9400ZZCRADV,Addington Village Tram Stop
430915,9400ZZCRARA,Arena Tram Stop
430918,9400ZZCRAVE,Avenue Road Tram Stop
430921,9400ZZCRBED,Beddington Lane Tram Stop
430924,9400ZZCRBEK,Beckenham Junction Tram Stop
430927,9400ZZCRBGV,Belgrave Walk Tram Stop
430930,9400ZZCRBIR,Birkbeck Tram Stop
430932,9400ZZCRBLA,Blackhorse Lane Tram Stop
430935,9400ZZCRBRD,Beckenham Road Tram Stop
430937,9400ZZCRCEN,George Street Tram Stop
430939,9400ZZCRCHR,Church Street Tram Stop
430941,9400ZZCRCOO,Coombe Lane Tram Stop
430944,9400ZZCRCTR,Centrale Tram Stop
430946,9400ZZCRDDR,Dundonald Road Tram Stop
430949,9400ZZCRECR,East Croydon Tram Stop
430953,9400ZZCRELM,Elmers End Tram Stop
430955,9400ZZCRFLD,Fieldway Tram Stop
430958,9400ZZCRGRA,Gravel Hill Tram Stop
430961,9400ZZCRHAR,Harrington Road Tram Stop
430964,9400ZZCRKGH,King Henry's Drive Tram Stop
430973,9400ZZCRMCH,Mitcham Tram Stop
430976,9400ZZCRMDN,Morden Road Tram Stop
430979,9400ZZCRMJT,Mitcham Junction Tram Stop
430982,9400ZZCRMTP,Merton Park Tram Stop
430985,9400ZZCRNWA,New Addington Tram Stop
430988,9400ZZCRPHI,Phipps Bridge Tram Stop
430991,9400ZZCRRVC,Reeves Corner Tram Stop
431005,9400ZZCRWCR,West Croydon Tram Stop
431007,9400ZZCRWEL,Wellesley Road Tram Stop
431009,9400ZZCRWMB,Wimbledon Tram Stop
431012,9400ZZCRWOD,Woodside Tram Stop
431024,9400ZZDLABR,Abbey Road DLR Station
431027,9400ZZDLALL,All Saints DLR Station
431030,9400ZZDLBEC,Beckton DLR Station
431032,9400ZZDLBLA,Blackwall DLR Station
