,Unique_Id,Location,Property_Type,Address,Rent,Price,Base,Number_Of_Bedroom,Number_Of_Bathroom,Description,Link,Run_Time
0,1|1|2025-05-17|23:08:28.786886,Islington,Apartment,"Siena House, 250 City Road, EC1V","£3,250 pcm",3250,pcm,1,1,"A beautifully presented one-bedroom, one-bathroom apartment in Siena House, conveniently located within walking distance of Old Street and Angel Underground stations.",https://www.rightmove.co.uk/properties/161875670#/?channel=RES_LET,2025-05-17 23:08:28.786886
1,1|2|2025-05-17|23:08:28.786886,Islington,Flat,"Highbury Park, London, N5","£2,700 pcm",2700,pcm,2,1,"Immediate viewings, Available 1st of June. Stunning top floor 2-bedroom split-level flat, offering stylish living at the highly sought-after Highbury Barn. Comes with high quality furniture and is... ** Property Reference: 2487062 **",https://www.rightmove.co.uk/properties/162092078#/?channel=RES_LET,2025-05-17 23:08:28.786886
2,1|3|2025-05-17|23:08:28.786886,Islington,Flat,"Carriage House, London, Islington, N4","£1,900 pcm",1900,pcm,1,1,"Property Ref: 9636 This gorgeous one-bed apartment with floor-to-ceiling windows, underfloor heating and private balcony lies in the heart of …",https://www.rightmove.co.uk/properties/162091796#/?channel=RES_LET,2025-05-17 23:08:28.786886
3,1|4|2025-05-17|23:08:28.786886,Islington,Flat,"Queensland Road, Queensland Terrace, Islington, London, N7","£1,993 pcm",1993,pcm,,1,"A modern, high-spec studio apartment within of Islington’s iconic Queensland Terrace, a striking residential development of three distinctive towers adjacent to Arsenal’s world famous Emirates Stadium. Featuring a fully fitted German designer kitchen with Siemens appliances, high spec...",https://www.rightmove.co.uk/properties/162091358#/?channel=RES_LET,2025-05-17 23:08:28.786886
4,1|5|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, Islington, London, EC1Y","£2,253 pcm",2253,pcm,,1,"A spacious studio apartment located on City Road on the northern fringes of the City of London district The studio boasts ample living space and benefits from a secure entrance, lift, fully fitted kitchen and high quality finish throughout.",https://www.rightmove.co.uk/properties/162091325#/?channel=RES_LET,2025-05-17 23:08:28.786886
5,1|6|2025-05-17|23:08:28.786886,Islington,Apartment,"Davenant Road, N19 3NW","£2,700 pcm",2700,pcm,2,1,"This stunning 2-bedroom period conversion with sole use of a beautiful south facing rear garden, benefits from a spacious reception room, fitted kitchen-diner and a modern bathroom/WC. The property is available immediately on an un-furnished basis. Council tax band - C - Islington Council EPC ...",https://www.rightmove.co.uk/properties/162090059#/?channel=RES_LET,2025-05-17 23:08:28.786886
6,1|7|2025-05-17|23:08:28.786886,Islington,Flat,"Dalmeny Avenue, Tufnell Park, N7","£2,700 pcm",2700,pcm,3,1,"Set on the second floor of a well maintained purpose built block, and boasts an airy BALCONY. It is currently being newly decorated and within moments of transport links into the city, this flat is ideal for three professional sharers.",https://www.rightmove.co.uk/properties/162004850#/?channel=RES_LET,2025-05-17 23:08:28.786886
7,1|8|2025-05-17|23:08:28.786886,Islington,Apartment,"Hargrave Road, N19","£2,350 pcm",2350,pcm,2,1,"We are delighted to offer this beautifully presented TWO DOUBLE BEDROOM flat, situated on the top floor of a purpose built period mansion block within moments of Archway Station (Northern Line - Zone 2).The property is fully furnished ad available from the 9th July 2025.",https://www.rightmove.co.uk/properties/161862677#/?channel=RES_LET,2025-05-17 23:08:28.786886
8,1|9|2025-05-17|23:08:28.786886,Islington,Maisonette,"Offord Road, London","£6,500 pcm",6500,pcm,6,3,"Perfect for a group of sharers, we are delighted to offer this spacious six bedroom property in the heart of Islington boasting a private garden. Arranged over three floors, the property benefits from six double bedrooms plus an extra study room, large reception room/open plan kitchen and thre...",https://www.rightmove.co.uk/properties/162089963#/?channel=RES_LET,2025-05-17 23:08:28.786886
9,1|10|2025-05-17|23:08:28.786886,Islington,Flat,"Lonsdale Square, 
Islington, N1","£3,600 pcm",3600,pcm,2,1,"SHORT LET! Newly refurbished garden flat. Stunning 2 bed flat in the heart of Angel with a a large private garden. The flat is perfect for professionals looking for a pleasant, peaceful location on one of the most sought after squares in Islington.",https://www.rightmove.co.uk/properties/161411888#/?channel=RES_LET,2025-05-17 23:08:28.786886
10,1|11|2025-05-17|23:08:28.786886,Islington,Flat,"Mackenzie Road, London, N7 8QZ","£1,600 pcm",1600,pcm,1,1,"Bright & cosy 1 bedroom flat to rent within a house conversion, offering immediate proximity of Caledonian Road tube, Kings Cross and the local amenities. Available NO, with Network Agencies.",https://www.rightmove.co.uk/properties/162088526#/?channel=RES_LET,2025-05-17 23:08:28.786886
11,1|12|2025-05-17|23:08:28.786886,Islington,Flat,"Paradise Passage, Islington","£2,000 pcm",2000,pcm,1,1,"A brand new one double bedroom modern house situated in a central location. The property is newly contracted and offers excellent standard of décor, modern open plan kitchen/lounge, modern bathroom and wood flooring. Other benefits includes small decked patio. .",https://www.rightmove.co.uk/properties/162087857#/?channel=RES_LET,2025-05-17 23:08:28.786886
12,1|13|2025-05-17|23:08:28.786886,Islington,Flat,"Criterion Mews,","£2,550 pcm",2550,pcm,3,1,"Spacious 2/3 Bedroom Split-Level Mews House ; Archway - Available 3rd September 2025 We are pleased to present this spacious and well-presented 2/3 bedroom split-level mews house, ideally located in a quiet yet convenient spot in Archway.",https://www.rightmove.co.uk/properties/162084938#/?channel=RES_LET,2025-05-17 23:08:28.786886
13,1|14|2025-05-17|23:08:28.786886,Islington,Flat,goddard place,"£2,650 pcm",2650,pcm,2,1,"We are delighted to offer this bright, very spacious (880 square feet) and beautifully presented two double bedroom apartment with wooden floors and parking within a peaceful development enjoying an excellent location close to all the amenities and transport options of Tufnell Park that also bene...",https://www.rightmove.co.uk/properties/162084353#/?channel=RES_LET,2025-05-17 23:08:28.786886
14,1|15|2025-05-17|23:08:28.786886,Islington,Flat,"Priory Green, London, N1","£3,200 pcm",3200,pcm,3,,Newly refurbished 3 bedroom flat to rent in King Cross.,https://www.rightmove.co.uk/properties/137944145#/?channel=RES_LET,2025-05-17 23:08:28.786886
15,1|16|2025-05-17|23:08:28.786886,Islington,Flat,"Valencia Tower, London, EC1V","£4,900 pcm",4900,pcm,2,2,This stunning 2bed 2bathroom apartment is located on 22nd floor in Valencia Tower. Enjoy the sunset view from the master bedroom and the Shard view every single day from the dining area. Perfec... ** Property Reference: 2353821 **,https://www.rightmove.co.uk/properties/162077786#/?channel=RES_LET,2025-05-17 23:08:28.786886
16,1|17|2025-05-17|23:08:28.786886,Islington,Apartment,"Highbury Terrace, Highbury, London, N5","£5,000 pcm",5000,pcm,2,1,SHORT LET. Stunning property in the most sought after Highbury location.,https://www.rightmove.co.uk/properties/158622884#/?channel=RES_LET,2025-05-17 23:08:28.786886
17,1|18|2025-05-17|23:08:28.786886,Islington,Apartment,"Avenell Mansions, London, N5","£2,200 pcm",2200,pcm,2,1,"Situated in the very heart of Highbury this excellent two bedroom apartment offers a fantastic lateral living space. Comprising a large reception room with wooden flooring, separate high-spec kitchen, two double bedrooms and family bathroom. Ideally situated within a short walk of numerous transp...",https://www.rightmove.co.uk/properties/162077153#/?channel=RES_LET,2025-05-17 23:08:28.786886
18,1|19|2025-05-17|23:08:28.786886,Islington,Apartment,"Amwell Street, London, EC1R","£2,925 pcm",2925,pcm,2,2,"Nestled in the vibrant heart of Clerkenwell, this beautifully presented ground floor apartment at St. Pauls View offers a sophisticated urban living experience.",https://www.rightmove.co.uk/properties/127811186#/?channel=RES_LET,2025-05-17 23:08:28.786886
19,1|20|2025-05-17|23:08:28.786886,Islington,Apartment,"Greenford House, WC1X","£4,700 pcm",4700,pcm,2,2,"LUXURIOUS TWO bedroom TWO bathroom apartment in the new and vibrant Postmark development! This property comprises of an open-plan kitchen and reception area, two double sized bedrooms, two luxury bathroom suites as well as a private winter garden. Further benefits include 24 hour concierge as...",https://www.rightmove.co.uk/properties/161876372#/?channel=RES_LET,2025-05-17 23:08:28.786886
20,1|21|2025-05-17|23:08:28.786886,Islington,Apartment,"Siena House, EC1V","£3,100 pcm",3100,pcm,1,1,"STUNNING FURNISHED ONE bedroom apartment located in the highly sought after 250 City Road development, a boutique prime London development moments away from both, Barbican and Old Street stations. This delightful property comprises large open-plan living/dining area, high-spec modern kitchen with...",https://www.rightmove.co.uk/properties/161950562#/?channel=RES_LET,2025-05-17 23:08:28.786886
21,1|22|2025-05-17|23:08:28.786886,Islington,Apartment,"City Road, Old Street, London, EC1V","£2,500 pcm",2500,pcm,1,1,"One bed APARTMENT set within a PRIVATE DEVELOPMENT in the heart of the CITY and CLOSE TO OLD STREET STATION. Benefitting from spacious open plan living, FITTED KITCHEN, one double bedroom, bathroom. The building offers a RESIDENTS ONLY GYM and CONCIERGE. Furnished.",https://www.rightmove.co.uk/properties/162075350#/?channel=RES_LET,2025-05-17 23:08:28.786886
22,1|23|2025-05-17|23:08:28.786886,Islington,Apartment,"City Road, Old Street, London, EC1V","£3,895 pcm",3895,pcm,2,2,"Two bed APARTMENT set within PRIVATE DEVELOPMENT in the heart of the CITY and CLOSE TO OLD STREET STATION. Benefitting from spacious open plan living, FITTED KITCHEN, two double bedroom, two bathrooms, ENSUITE TO MASTER. The building offers a RESIDENTS ONLY GYM and CONCIERGE. Furnished.",https://www.rightmove.co.uk/properties/162075344#/?channel=RES_LET,2025-05-17 23:08:28.786886
23,1|24|2025-05-17|23:08:28.786886,Islington,Apartment,"City Road, Old Street, London, EC1V","£3,600 pcm",3600,pcm,2,2,"Two bed TOP FLOOR APARTMENT with a TERRACE set within a PRIVATE DEVELOPMENT in the heart of the CITY and CLOSE TO ANGEL & OLD STREET STATIONS. Benefitting from spacious open plan living, FITTED KITCHEN, two double bedroom withENSUITE TO MASTER and further bathroom. FURNISHED.",https://www.rightmove.co.uk/properties/162075347#/?channel=RES_LET,2025-05-17 23:08:28.786886
24,1|25|2025-05-17|23:08:28.786886,Islington,Apartment,"Manuscript Court, Islington, WC1X","£4,940 pcm",4940,pcm,2,2,Available from late June | Fully Furnished | Prime Central Location | Private Balcony | Underfloor Heating and Comfort Cooling | 24-hour Concierge | Swimming Pool | Gym,https://www.rightmove.co.uk/properties/162075092#/?channel=RES_LET,2025-05-17 23:08:28.786886
25,2|1|2025-05-17|23:08:28.786886,Islington,Apartment,"Paterson Court, Peerless Street, Clerkenwell, London, EC1V","£3,450 pcm",3450,pcm,3,1,"Discover this perfect apartment  in Paterson Court, Clerkenwell! This spacious three bedroom, one bathroom, one reception flat boasts incredible features and a private balcony and is ready for you to call home!",https://www.rightmove.co.uk/properties/147364580#/?channel=RES_LET,2025-05-17 23:08:28.786886
26,2|2|2025-05-17|23:08:28.786886,Islington,Flat,"Holloway Road, London, N19 3PB","£2,300 pcm",2300,pcm,4,,"Lovely large four double bedroom split-level flat with high ceilings, in popular location. Newly decorated and brand new carpets. Comes fully furnished. Close to Archway tube station.",https://www.rightmove.co.uk/properties/161902697#/?channel=RES_LET,2025-05-17 23:08:28.786886
27,2|3|2025-05-17|23:08:28.786886,Islington,Apartment,"Angel House, 20-32 Pentonville Road, London, N1","£1,750 pcm",1750,pcm,1,1,A newly refurbished one-bedroom apartment in a stunning location in the centre of Angel.,https://www.rightmove.co.uk/properties/161307923#/?channel=RES_LET,2025-05-17 23:08:28.786886
28,2|4|2025-05-17|23:08:28.786886,Islington,Studio,"Junction Road, London, N19","£1,575 pcm",1575,pcm,,1,DATE AVAILABLE: 17th July 2025 ***VIDEO TOUR: PLEASE VIEW THE VIDEO WITHIN THE IMAGES SECTION FEATURES: Studio Flat (1st Floor) Council Tax & Water Included Local Amenities & Transpor... ** Property Reference: 2414934 **,https://www.rightmove.co.uk/properties/162074198#/?channel=RES_LET,2025-05-17 23:08:28.786886
29,2|5|2025-05-17|23:08:28.786886,Islington,Flat,"Holloway Road, London, N7","£2,350 pcm",2350,pcm,2,1,"Discover refined living in this stunning two bedroom period conversion flat on bustling Holloway Road. Newly refurbished to a very high standard, this third floor residence is extremely spacious and presents an exceptional opportunity for a convenient and vibrant lifestyle in the heart of London.",https://www.rightmove.co.uk/properties/162073274#/?channel=RES_LET,2025-05-17 23:08:28.786886
30,2|6|2025-05-17|23:08:28.786886,Islington,Flat,Percival Street,"£2,500 pcm",2500,pcm,3,1,"A bright and airy two double bedroom apartment with balcony. Set close to desirable areas such as Farringdon, Clerkenwell and Angel, multiple amenities and railway stations are on your doorstep.",https://www.rightmove.co.uk/properties/162072926#/?channel=RES_LET,2025-05-17 23:08:28.786886
31,2|7|2025-05-17|23:08:28.786886,Islington,Apartment,"Kingsland Green, Dalston, London E8","£2,400 pcm",2400,pcm,2,1,"The Storey: Great size two double bedroom apartment set on the second floor of this secure ported development with communal terrace in Dalston E8. Offering a spacious living area with separate modern kitchen, two good size double bedrooms with space for desks and a stylish modern bathro...",https://www.rightmove.co.uk/properties/161875496#/?channel=RES_LET,2025-05-17 23:08:28.786886
32,2|8|2025-05-17|23:08:28.786886,Islington,Apartment,"Pearl House, Caledonian Road, N7","£3,033 pcm",3033,pcm,1,1,"Available July & offered unfurnished. Oversized one-bedroom, boasting an expansive dual south and east aspect in Pearl House, nestled along the sought-after Caledonian Road, N7",https://www.rightmove.co.uk/properties/161810330#/?channel=RES_LET,2025-05-17 23:08:28.786886
33,2|9|2025-05-17|23:08:28.786886,Islington,Apartment,"Bezier Apartments, 91 City Road, Old Street, Shoreditch, London, EC1Y","£5,500 pcm",5500,pcm,2,2,** VIRTUAL VIEWING & VIDEO OF UNIT AVAILABLE UPON REQUEST ** Please Quote ref: ASP 12870 Deposit: 5 Weeks Rent Length of Tenancy: 12 Months Council Tax Band: G This Amazing Penthouse is ...,https://www.rightmove.co.uk/properties/162071243#/?channel=RES_LET,2025-05-17 23:08:28.786886
34,2|10|2025-05-17|23:08:28.786886,Islington,Maisonette,"Balls Pond Road, Dalston, Islington, London, N1","£2,500 pcm",2500,pcm,2,1,Beautifully tucked away and presented is this fantastic two double bedroom period flat spread over the top two floors offering ample living space with private terrace and centrally located just moments from vibrant Dalston Junction. Boasting high ceilings and presented to a high standard.,https://www.rightmove.co.uk/properties/162070349#/?channel=RES_LET,2025-05-17 23:08:28.786886
35,2|11|2025-05-17|23:08:28.786886,Islington,Apartment,"Birnam Road, N4 3LQ","£2,150 pcm",2150,pcm,2,1,"Nestled on a quiet residential street, this exquisite first-floor Victorian conversion offers a rare opportunity to rent a meticulously designed two-bedroom apartment. The current photos are not a true reflection of the property, the property will be redecorated with significant changes to the ki...",https://www.rightmove.co.uk/properties/162070238#/?channel=RES_LET,2025-05-17 23:08:28.786886
36,2|12|2025-05-17|23:08:28.786886,Islington,Apartment,"Valencia Tower, 250 City Road, EC1V","£3,397 pcm",3397,pcm,2,1,"Brand New. Two-bedroom apartment in the highly anticipated 250 City Road development, EC1V. The property comprises c.692 sq ft and boasts an open plan kitchen living area, two bedrooms with built in storage and stylish bathrooms. 250 City Road perfectly located for commuting to Old Street, Ang...",https://www.rightmove.co.uk/properties/131494019#/?channel=RES_LET,2025-05-17 23:08:28.786886
37,2|13|2025-05-17|23:08:28.786886,Islington,Apartment,"Cleveland Road, Islington, N1","£2,750 pcm",2750,pcm,2,1,The property has been completely refurbished to the highest of standards throughout and offers exceptionally light rooms with an excellent standard of finish. The two double bedrooms offer high ceilings and custom built storage whilst the bathroom has been finished in a contemporary style. The up...,https://www.rightmove.co.uk/properties/78849576#/?channel=RES_LET,2025-05-17 23:08:28.786886
38,2|14|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, Angel, London, EC1V","£3,895 pcm",3895,pcm,2,2,"LONG LET. Perfectly placed in a popular development on City Road, this superb two bedroom flat boasts light and airy interiors and open-plan living space with modern interiors and neutral décor throughout.",https://www.rightmove.co.uk/properties/162067907#/?channel=RES_LET,2025-05-17 23:08:28.786886
39,2|15|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, Old Street, London, EC1V","£3,600 pcm",3600,pcm,2,2,"LONG LET. A superb 2 bedroom flat set on City Road, offering exceptionally spacious interiors, modern and neutral décor and bright and airy rooms throughout.",https://www.rightmove.co.uk/properties/162067880#/?channel=RES_LET,2025-05-17 23:08:28.786886
40,2|16|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, Angel, London, EC1V","£5,843 pcm",5843,pcm,2,2,"SHORT LET. Perfectly placed in a popular development on City Road, this superb two bedroom flat boasts light and airy interiors and open-plan living space with modern interiors and neutral décor throughout.",https://www.rightmove.co.uk/properties/162067886#/?channel=RES_LET,2025-05-17 23:08:28.786886
41,2|17|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, Old Street, London, EC1V","£5,400 pcm",5400,pcm,2,2,"SHORT LET. A superb 2 bedroom flat set on City Road, offering exceptionally spacious interiors, modern and neutral décor and bright and airy rooms throughout.",https://www.rightmove.co.uk/properties/162067898#/?channel=RES_LET,2025-05-17 23:08:28.786886
42,2|18|2025-05-17|23:08:28.786886,Islington,Flat,"Dingley Place, Old Street, EC1V","£2,473 pcm",2473,pcm,1,1,"Remarkable one bedroom, loft style factory conversion offering the perfect blend of contemporary living and industrial charm in the heart of Old Street The apartment boasts one spacious double bedroom, modern bathroom suite, modern open plan kitchen / living area with exposed bricks opening out ...",https://www.rightmove.co.uk/properties/162066593#/?channel=RES_LET,2025-05-17 23:08:28.786886
43,2|19|2025-05-17|23:08:28.786886,Islington,Flat,"Copenhagen Street, London, N1","£5,000 pcm",5000,pcm,4,1,"4 Bed Flat, Copenhagen Street, N1 We are proud to offer this delightful 4 bedroom, 1 bathroom flat in a great location. Available to move in from 02 September 2025, this property benefits from g... ** Property Reference: 2485919 **",https://www.rightmove.co.uk/properties/162065885#/?channel=RES_LET,2025-05-17 23:08:28.786886
44,2|20|2025-05-17|23:08:28.786886,Islington,Apartment,"Manor Gardens, London, N7","£1,750 pcm",1750,pcm,1,1,"Furnished. Set in a beautiful building with stunning communal areas this newly refurbished one bedroom apartment offers a spacious open-plan living area with a sleek kitchen and a double bedroom. Benefitting from a residents gym, 24 hour concierge and communal gardens this one is not to be missed...",https://www.rightmove.co.uk/properties/160813823#/?channel=RES_LET,2025-05-17 23:08:28.786886
45,2|21|2025-05-17|23:08:28.786886,Islington,Flat,"Caledonian Road, London","£1,850 pcm",1850,pcm,1,,"highly sought after F/F Victorian Converted 1 Bed flat located in prime location allowing direct access to the Caledonian Road's vast array of shops & restaurants, 24 hours bus routes, Kings Cross & St. Pancras Tube & B.R & many local amenities",https://www.rightmove.co.uk/properties/162061430#/?channel=RES_LET,2025-05-17 23:08:28.786886
46,2|22|2025-05-17|23:08:28.786886,Islington,Apartment,"City Reach, Dingley Road, Clerkenwell, London, EC1V","£3,300 pcm",3300,pcm,2,2,"Don't miss the chance to rent this stunning two bedroom apartment in Dingley Road, London, featuring high ceilings, a gym, and video entry.",https://www.rightmove.co.uk/properties/162060227#/?channel=RES_LET,2025-05-17 23:08:28.786886
47,2|23|2025-05-17|23:08:28.786886,Islington,Apartment,"City Reach,Dingley Road, Clerkenwell, London, EC1V","£3,750 pcm",3750,pcm,2,2,"A splendid two double bedroom two-bathroom penthouse apartment with two large terraces and enviable views across the City located within this popular portered building with residents gym and concierge, on City Road Old Street.",https://www.rightmove.co.uk/properties/162060044#/?channel=RES_LET,2025-05-17 23:08:28.786886
48,2|24|2025-05-17|23:08:28.786886,Islington,Apartment,"Rheidol Mews, Islington, N1","£3,445 pcm",3445,pcm,2,2,"Well finished throughout, this beautiful two double bedroom, two bathroom split level house situated within a unique mews development in central Angel just a short distance away to Angel Tube Station (Northern Line, Zone 1) and popular Upper Street.",https://www.rightmove.co.uk/properties/161695946#/?channel=RES_LET,2025-05-17 23:08:28.786886
49,2|25|2025-05-17|23:08:28.786886,Islington,Flat,"Lawrence House, City, London, EC1V","£2,500 pcm",2500,pcm,1,1,"LONG LET. Situated in a popular development with porter, this great one bedroom flat boasts modern décor with smart fixtures and fittings as well as a superb location.",https://www.rightmove.co.uk/properties/162059978#/?channel=RES_LET,2025-05-17 23:08:28.786886
50,3|1|2025-05-17|23:08:28.786886,Islington,Apartment,"Wheeler Gardens, Kings Cross, London, N1","£2,500 pcm",2500,pcm,2,1,"Discover this perfect two bedroom apartment featuring a private balcony, open-planned lounge & kitchen, built-in storage space, and close proximity to Kings Cross Station.",https://www.rightmove.co.uk/properties/148599746#/?channel=RES_LET,2025-05-17 23:08:28.786886
51,3|2|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, City, London, EC1V","£3,500 pcm",3500,pcm,2,2,LONG LET. Moments from local amenities a popular portered building offers this stunning 2 bedroom apartment in the heart of Islington. It further showcases contemporary interiors and a spacious reception bathed in natural light.,https://www.rightmove.co.uk/properties/162059966#/?channel=RES_LET,2025-05-17 23:08:28.786886
52,3|3|2025-05-17|23:08:28.786886,Islington,Flat,"City Road, City, London, EC1V","£5,250 pcm",5250,pcm,2,2,SHORT LET. Moments from local amenities a popular portered building offers this stunning 2 bedroom apartment in the heart of Islington. It further showcases contemporary interiors and a spacious reception bathed in natural light.,https://www.rightmove.co.uk/properties/162059972#/?channel=RES_LET,2025-05-17 23:08:28.786886
53,3|4|2025-05-17|23:08:28.786886,Islington,Flat,"Dingley Road, Old Street, London, EC1V","£3,300 pcm",3300,pcm,2,2,"LONG LET. This smart one bedroom flat offers ample bright living space with a modern kitchen and stylish bathroom and a great location close to the amenities of Old Street, Upper Street and the City.",https://www.rightmove.co.uk/properties/162059957#/?channel=RES_LET,2025-05-17 23:08:28.786886
54,3|5|2025-05-17|23:08:28.786886,Islington,Flat,"Lawrence House, City, London, EC1V","£3,750 pcm",3750,pcm,1,1,"SHORT LET. Situated in a popular development with porter, this great one bedroom flat boasts modern décor with smart fixtures and fittings as well as a superb location.",https://www.rightmove.co.uk/properties/162059945#/?channel=RES_LET,2025-05-17 23:08:28.786886
